Museum,Specimen ID,County,State,Year,Sex,Latitude,Longitude,SVL (mm),Humerus (mm),RadiusUlna (mm),Forelimb (mm),Femur (mm),TibFib (mm),Hindlimb Length,HeadLength (mm),HeadWidth (mm),HeadHeight (mm)
FLMNH,3210-5,Charlotte,Florida,1949,M,26.885808,-82.065237,46,6.113333333,6.016666667,12.13,8.896666667,8.183333333,17.08,14.82,7.226666667,5.29
FLMNH,3210-1,Charlotte,Florida,1949,M,26.885808,-82.065237,48,6.626666667,6.143333333,12.77,8.216666667,8.656666667,16.87333333,15.36666667,7.553333333,5.503333333
FLMNH,101874,Charlotte,Florida,1972,F,26.994735,-81.942754,48,6.296666667,6.053333333,12.35,8.143333333,8.443333333,16.58666667,14.42333333,6.693333333,4.76
FLMNH,101872,Charlotte,Florida,1972,M,26.994735,-81.942754,50,6.866666667,6.38,13.24666667,8.456666667,8.763333333,17.22,15.41,7.763333333,5.446666667
FLMNH,101871,Charlotte,Florida,1972,F,26.929513,-82.018483,42,4.896666667,5.016666667,9.913333333,7.993333333,7.856666667,15.85,12.46,6.346666667,4.75
FLMNH,101870,Charlotte,Florida,1972,M,26.994735,-81.942754,51,6.456666667,6.813333333,13.27,9.626666667,9.283333333,18.91,16.42333333,7.586666667,5.55
FLMNH,101869,Charlotte,Florida,1972,M,26.893139,-82.236609,52,6.516666667,6.346666667,12.86333333,9.516666667,8.963333333,18.48,16.14333333,7.586666667,5.773333333
FLMNH,101868,Charlotte,Florida,1972,M,26.893139,-82.236609,50,6.803333333,6.526666667,13.33,8.823333333,9.026666667,17.85,14.88666667,7.083333333,5.296666667
FLMNH,101867,Charlotte,Florida,1972,M,26.985249,-82.104597,46.33333333,5.996666667,6.266666667,12.26333333,8.036666667,8.253333333,16.29,14.31666667,6.81,4.653333333
FLMNH,101866,Charlotte,Florida,1972,M,26.985249,-82.104597,53.66666667,7,6.926666667,13.92666667,9.74,9.34,19.08,16.73333333,7.713333333,5.536666667
FLMNH,101863,Charlotte,Florida,1959,M,26.975237,-82.369299,51,6.653333333,5.863333333,12.51666667,10.1,9.1,19.2,16.64,8.356666667,6.203333333
FLMNH,101862,Charlotte,Florida,1959,M,26.975237,-82.369299,51,6.796666667,6.676666667,13.47333333,10.27666667,9.163333333,19.44,16.65333333,8.32,6.423333333
FLMNH,102273,De Soto,Florida,1972,F,27.088506,-81.99396,38,4.963333333,4.89,9.853333333,7,6.826666667,13.82666667,11.59,5.976666667,4.276666667
FLMNH,102275,De Soto,Florida,1972,M,27.088506,-81.99396,49.33333333,6.303333333,6.336666667,12.64,8.433333333,8.46,16.89333333,15.89,7.763333333,5.523333333
FLMNH,102278,De Soto,Florida,1972,M,27.067829,-81.95837,50,6.393333333,5.54,11.93333333,8.68,7.91,16.59,15.47,7.863333333,5.7
FLMNH,102276,De Soto,Florida,1972,M,27.161318,-81.881549,48,6.293333333,6.436666667,12.73,9.203333333,9.063333333,18.26666667,15.53,7.596666667,5.356666667
FLMNH,152793,Palm Beach,Florida,2008,M,26.367566,-80.117898,54,6.31,6.11,12.42,9.14,8.78,17.92,17.13,8.62,6.39
FLMNH,102331,Palm Beach,Florida,n/a,M,26.697028,-80.322567,54,6.86,5.71,12.57,8.71,7.94,16.65,16.65,8.03,6.07
FLMNH,102326,Palm Beach,Florida,n/a,M,26.681865,-80.242483,56,7.9,6.66,14.56,10.41,9.01,19.42,18.91,9.65,7.08
FLMNH,102330,Palm Beach,Florida,n/a,F,26.681865,-80.242483,48,5.55,4.85,10.4,8.05,7.04,15.09,14.43,6.89,5.16
FLMNH,102336,Palm Beach,Florida,1959,F,26.769206,-80.061333,44,5.62,4.36,9.98,7.32,6.02,13.34,12.69,6.19,4.61
FLMNH,102337,Palm Beach,Florida,1959,M,26.769206,-80.061333,49,5.68,4.98,10.66,7.4,6.68,14.08,14.34,6.85,4.99
FLMNH,102329,Palm Beach,Florida,1959,M,26.681865,-80.242483,46,6.03,5.12,11.15,8.35,7.18,15.53,15.34,8.06,5.76
FLMNH,102333,Palm Beach,Florida,1959,F,26.769206,-80.061333,46,5.55,4.51,10.06,7.26,6.57,13.83,12.93,6.62,5.27
FLMNH,102339,Palm Beach,Florida,1959,M,26.769206,-80.061333,48,6.74,5.94,12.68,8.67,7.84,16.51,14.59,7.24,5.13
FLMNH,4065-1,Palm Beach,Florida,1948,M,26.591936,-80.230268,53,7.09,6.24,13.33,9.86,8.28,18.14,18.46,9.2,6.91
FLMNH,102328,Palm Beach,Florida,n/a,F,26.681865,-80.242483,44,4.64,4.26,8.9,6.69,6.46,13.15,12.86,6.36,4.47
FLMNH,4065-3,Palm Beach,Florida,1948,M,26.591936,-80.230268,48,5.25,4.85,10.1,8.48,7.87,16.35,15.51,7.85,5.95
FLMNH,2508-2,Palm Beach,Florida,1948,F,26.72868,-80.099945,38,4.93,3.11,8.04,6.3,5.63,11.93,11.53,6.03,4.89
FLMNH,4065-4,Palm Beach,Florida,1948,F,26.591936,-80.230268,40,4.73,3.99,8.72,6.64,5.48,12.12,12.99,6.13,4.85
FLMNH,2506-2,Palm Beach,Florida,1948,F,26.587815,-80.084551,46,6.06,5.31,11.37,8.43,7.07,15.5,13.53,7,5.47
FLMNH,3219-1,Palm Beach,Florida,1949,F,26.622489,-80.049275,43,6.02,4.53,10.55,7.92,6.51,14.43,12.69,6.59,4.97
